| site_name | title | company | record | area |
| 잡코리아 | [AIoT 플랫폼 앱/서버 기술지원(5년 이상)](https://www.jobkorea.co.kr/Recruit/GI_Read/46229857?Oem_Code=C1&sc=212) | 아카라라이프㈜ | 개발·데이터 | 서울 서초구 |
| 원티드 | [프론트엔드 개발자 (5년 이상)](https://www.wanted.co.kr/wd/197139) | 알서포트(Rsupport) | 경력 5년 이상 | 서울 강동구 |
| 인크루트 | [Solution 웹 Full Stack 개발자 (3년 이상)](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501140003186) | 알서포트(주) | 경력3년↑ | 강동구 |
| 사람인 | [[코스닥 상장사] Solution 웹 Full Stack 개발자 경력 채용](https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776219) | 알서포트(주) | 경력 3년↑ · 정규직 | 서울전체 외 |
| 인크루트 | [웹 백엔드 개발자 (5년 이상)](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501140003220) | 알서포트(주) | 경력5년↑ | 강동구 |
| 인크루트 | [웹 프론트엔드 개발자 (5년 이상)](https://job.incruit.com/jobdb_info/jobpost.asp?job=2501140003217) | 알서포트(주) | 경력5년↑ | 강동구 |
| 인크루트 | [웹 프론트엔드 개발자 (7년 이상)](https://job.incruit.com/jobdb_info/jobpost.asp?job=2502250000962) | 알서포트(주) | 서울 | 7년↑ |
| 인크루트 | [주니어 백엔드 개발자 (2년 이상)](https://job.incruit.com/jobdb_info/jobpost.asp?job=2502250000908) | 알서포트(주) | 서울 | 2년↑ |
| 원티드 | [SW개발자(풀스택)](https://www.wanted.co.kr/wd/258588) | 알지티 | 경력 5-12년 | 서울 금천구 |
| 원티드 | [풀스택 개발자](https://www.wanted.co.kr/wd/258588) | 알지티 | 경력 5-12년 | 서울 금천구 |
| 원티드 | [Frontend Engineer (5년 이상)](https://www.wanted.co.kr/wd/59566) | 알티엠 | 경력 5-10년 | 서울 강남구 |
| 잡코리아 | [프로그래매틱 광고 백엔드 엔지니어](https://www.jobkorea.co.kr/Recruit/GI_Read/46246332?Oem_Code=C1&sc=212) | 애니포인트미디어㈜ | 개발·데이터 | 서울 강남구 |
| 원티드 | [Python 개발자](https://www.wanted.co.kr/wd/267253) | 애드크림 | 경력 3-20년 | 서울 강남구 |
| 원티드 | [PHP Back-end engineer](https://www.wanted.co.kr/wd/264496) | 애드포러스 | 경력 6-10년 | 서울 강남구 |
| 원티드 | [[Plus]Backend](https://www.wanted.co.kr/wd/245155) | 앤서스랩코리아 | 경력 5년 이상 | 서울 강남구 |
| 원티드 | [[푸드올로지] 해외몰 웹 퍼블리셔](https://www.wanted.co.kr/wd/263197) | 어댑트(adaptInc.) | 신입 이상 | 서울 강남구 |
| 원티드 | [Frontend Software Engineer (전문연구요원)](https://www.wanted.co.kr/wd/258023) | 어베어(윈들리) | 경력 2-6년 | 서울 강남구 |
| 원티드 | [Mid-level Full Stack Developer (전문연구요원 가능)](https://www.wanted.co.kr/wd/266750) | 어크로스비 | 경력 3-8년 | 서울 서초구 |
| 원티드 | [데이터 엔지니어링 크롤러](https://www.wanted.co.kr/wd/262679) | 얼터너티브자산운용 | 경력 1-12년 | 서울 강남구 |
| 원티드 | [취약점 분석 및 정보보안 모의해킹 컨설턴트](https://www.wanted.co.kr/wd/239197) | 에버스핀 | 경력 1-5년 | 서울 동작구 |
| 잡코리아 | [[서울시청 상주] 네트워크/보안 엔지니어](https://www.jobkorea.co.kr/Recruit/GI_Read/46127187?Oem_Code=C1&sc=212) | 에스넷아이씨티㈜ | 개발·데이터 | 서울 중구 |
| 원티드 | [웹개발 (5년 이상)](https://www.wanted.co.kr/wd/259049) | 에스티로직(STLogic) | 경력 5-10년 | 서울 서초구 |
| 원티드 | [웹 GIS분야 개발자 리더급](https://www.wanted.co.kr/wd/199736) | 에스티로직(STLogic) | 경력 5-10년 | 서울 서초구 |
| 잡코리아 | [인공지능 및 영상처리](https://www.jobkorea.co.kr/Recruit/GI_Read/46465443?Oem_Code=C1&sc=212) | 에어빌리티㈜ | 개발·데이터 | 서울 서초구 |
| 잡코리아 | [항공전자 소프트웨어](https://www.jobkorea.co.kr/Recruit/GI_Read/46465316?Oem_Code=C1&sc=212) | 에어빌리티㈜ | 개발·데이터 | 서울 서초구 |
